road_name,Start_point,End_point,delay_min,speed_kmh,duration_in_traffic_min,distance_km,traffic_condition
Al Remal,"(24.9623711, 46.8511917)","(24.8228584, 46.75764179999999)",-0.4870370370370371,52.73536449855272,26.829629629629625,23.556,Blue
Al Rumh,"(24.7587914, 46.6898516)","(24.7200682, 46.67294829999999)",0.30185185185185187,34.36610190796378,13.901851851851852,7.878,Blue
Al Sahel Valley,"(24.866488, 46.815598)","(24.8287479, 46.7938116)",-0.6203703703703703,44.90634426607734,10.762962962962963,8.035,Blue
Al Sanya al Baida,"(24.7310537, 46.84344979999999)","(24.6808089, 46.7578244)",0.6685185185185185,36.20168254505833,23.71851851851852,14.228999999999997,Yellow
Al Shaba'Niah,"(24.8519613, 46.805914)","(24.7657102, 46.7212587)",1.9296296296296296,51.07858049842747,22.4037037037037,18.82766666666667,Blue
Al Thoumamah Rd,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)",1.3018518518518516,56.961843358361016,36.351851851851855,34.069,Blue
Al Thuraya,"(24.7651064, 46.75570829999999)","(24.7388652, 46.7233733)",-0.15370370370370368,37.12099351103113,11.442592592592593,7.026555555555556,Blue
Al Ward,"(24.6770813, 46.5903299)","(24.6277137, 46.54394749999999)",1.8703703703703707,36.394292756772224,20.43333333333333,11.981333333333334,Blue
Al-Fajar,"(24.8180188, 46.6660075)","(24.8126, 46.6558999)",1.174074074074074,46.87908029333163,9.824074074074073,7.569999999999999,Yellow
Ariha,"(24.7064561, 46.77233709999999)","(24.6560661, 46.7309264)",-0.20185185185185184,31.64663308225143,20.31851851851852,10.568222222222223,Blue
As Salah,"(24.8258293, 46.9101143)","(24.7908938, 46.8919243)",-0.3648148148148148,26.77677753668516,17.368518518518517,7.748,Blue
Atia,"(24.7736461, 46.7222027)","(24.7524547, 46.6826067)",0.7518518518518519,44.054292369022846,8.368518518518519,6.009,Yellow
Conference Blvd,"(24.7609007, 46.6422125)","(24.7582481, 46.6373493)",0.3574074074074074,42.39863601385126,12.11111111111111,8.382777777777779,Blue
