road_name,start_point,end_point,distance_km
Othman Bin Affan Road,"(24.8541823, 46.7284922)","(24.7712434, 46.6712966)",12.74045980445266
Othman Bin Affan Road,"(24.7712434, 46.6712966)","(24.7410192, 46.6707912)",5.615627884606334
Al Nahdha road,"(24.7084279, 46.7865834)","(24.6365608, 46.8002853)",10.715920355063787
Al Nahdha road,"(24.6365608, 46.8002853)","(24.6250042, 46.74273400000001)",7.213078764402811
طريق العروبة,"(24.7435352, 46.7525945)","(24.70444, 46.6237931)",15.545095342205592
طريق العروبة,"(24.70444, 46.6237931)","(24.6894848, 46.6294245)",2.7955993372430434
Irqah,"(24.7092533, 46.6160959)","(24.6643553, 46.48941989999999)",15.59979043456499
الضوء,"(24.8929013, 46.8431832)","(24.8839823, 46.8066945)",11.585396100109524
الضوء,"(24.8839823, 46.8066945)","(24.8693908, 46.8040022)",5.415120168342135
الدائري الثاني,"(24.7609512, 46.8691728)","(24.662313, 46.8567589)",13.140705723698298
الدائري الثاني,"(24.662313, 46.8567589)","(24.6525801, 46.8461368)",3.2499352774815087
المعيزيلة,"(24.8192265, 46.8603337)","(24.7577306, 46.8310673)",12.031535989872019
المعيزيلة,"(24.7577306, 46.8310673)","(24.7645772, 46.8148493)",3.4429272286516053
رقوان,"(24.6273575, 46.61191650000001)","(24.5924335, 46.5453261)",10.473957041291259
رقوان,"(24.5924335, 46.5453261)","(24.5761648, 46.5651915)",4.414598095255214
Al Naqeel,"(24.7610771, 46.65565100000001)","(24.7357661, 46.5894917)",11.748435964423882
Al Naqeel,"(24.7357661, 46.5894917)","(24.7245598, 46.5905193)",2.5799685601876674
Yanbu,"(24.649823, 46.5868484)","(24.59217, 46.50841390000001)",13.354045553945241
الحيازين,"(24.768248, 46.779689)","(24.6909009, 46.7748545)",11.82538019627452
عثمان الضبي,"(24.6710541, 46.7077782)","(24.6083471, 46.6666318)",10.519274584174655
ممر قرطبة,"(24.8375078, 46.7583126)","(24.7921872, 46.7123915)",10.15673284633205
طريق الامير مساعد بن جلوي,"(24.7117035, 46.7194247)","(24.6478383, 46.6914704)",10.358146464842257
المهندس مساعد العنقري,"(24.7260147, 46.6878901)","(24.7055096, 46.6753812)",11.732165310208043
Dhalam,"(24.8319199, 46.6933066)","(24.8181882, 46.6670222)",10.146206859619983
Al Jabour,"(24.6443403, 46.7653899)","(24.6118611, 46.7158466)",8.547413523675239
الملد,"(24.7980226, 46.58132759999999)","(24.754385, 46.5452765)",9.510287870312158
سامطة,"(24.7545502, 46.8359161)","(24.7384414, 46.7997081)",8.337355162542396
FAHHAD MOHAMMAD AL JFIRAN STREET,"(24.688903, 46.7639947)","(24.6853532, 46.7123488)",8.799744934033829
Abi Hasain Al Hanbali,"(24.8021898, 46.66384100000001)","(24.7835076, 46.6237006)",8.402009424564838
وادي الجناح,"(24.7058565, 46.6214901)","(24.7049319, 46.6187987)",7.5748053123374826
Prince Ahmed Bin Abdulaziz,"(24.6444269, 46.64639349999999)","(24.6300965, 46.5908374)",7.285266660799232
