road_name,Start_point,End_point,delay_min,speed_kmh,duration_in_traffic_min,distance_km,traffic_condition
وادي هجر,"(24.8181963, 46.6186549)","(24.8093034, 46.6005703)",0.9888888888888888,31.202746615286912,13.544444444444444,6.852666666666667,Blue
عطية بن جنادة,"(24.7606712, 46.7874591)","(24.7520107, 46.747547)",-0.1407407407407407,28.968343989437376,13.542592592592593,6.502,Blue
أحمد عبدالواحد,"(24.7132022, 46.7652314)","(24.7113442, 46.7638708)",0.8907407407407408,35.85440980272185,10.64074074074074,6.15,Blue
جاكارتا,"(24.7186837, 46.8567756)","(24.6891738, 46.8543525)",-0.0092592592592592,32.67448805688498,11.09074074074074,6.03,Blue
Al Remal,"(24.9623711, 46.8511917)","(24.8228584, 46.75764179999999)",-0.4870370370370371,52.73536449855272,26.829629629629625,23.556,Blue
الإمام أحمد بن حنبل,"(24.768106, 46.8907119)","(24.6997523, 46.7768732)",0.3222222222222222,51.13938139247035,24.85555555555555,21.084333333333333,Blue
الإمام أبي حنيفة,"(24.6353085, 46.6946822)","(24.5899618, 46.60298119999999)",-0.5611111111111111,36.85660891210499,23.12222222222222,14.015888888888888,Blue
شارع الامير بندر بن عبد العزيز,"(24.7941059, 46.850718)","(24.7457271, 46.7720347)",-0.8481481481481482,43.50211557180977,19.118518518518517,13.781,Blue
Al Ward,"(24.6770813, 46.5903299)","(24.6277137, 46.54394749999999)",1.870370370370371,36.394292756772224,20.43333333333333,11.981333333333334,Blue
Discovery Blvd,"(24.7659472, 46.6391588)","(24.7607916, 46.636143)",0.4148148148148148,45.29918170639825,13.433333333333334,9.94688888888889,Blue
طريق عمر بن الخطاب,"(24.6698077, 46.7865516)","(24.6443417, 46.71400920000001)",2.653703703703704,27.25720876404105,22.803703703703704,9.937666666666663,Blue
التنهاة,"(24.7570374, 46.5981595)","(24.7397288, 46.58851749999999)",0.137037037037037,44.843418770449155,12.37037037037037,9.115,Blue
راجية,"(24.8218292, 46.77324429999999)","(24.8027754, 46.7623591)",0.5537037037037036,36.41041239059446,14.803703703703706,8.894,Blue
شارع ابن شداد,"(24.6661731, 46.7312285)","(24.6540629, 46.6768718)",1.8703703703703705,34.9022783091164,14.329629629629627,7.702444444444445,Blue
Abi Safwon,"(24.9122469, 46.8107557)","(24.903784, 46.7938116)",-0.2222222222222221,55.73999510290213,8.227777777777778,7.642999999999999,Blue
حسين بن سعيد المنوفي,"(24.6675779, 46.7635685)","(24.6640134, 46.7567663)",0.0296296296296296,46.1236716940184,9.662962962962965,7.408,Blue
Umm Al Hamam,"(24.7124471, 46.6657058)","(24.6705468, 46.6488106)",-0.374074074074074,32.124573162298105,13.920370370370373,7.315000000000001,Blue
الشموس,"(24.7190346, 46.8223324)","(24.7058256, 46.7774781)",-0.7518518518518519,27.81956900111923,13.348148148148148,6.164,Blue
الطريق الدائري الجنوبي الفرعي,"(24.641973, 46.8204406)","(24.5383879, 46.5933382)",6.172222222222222,37.695855972089795,49.337037037037035,30.17677777777778,Blue
طريق الامام  سعود بن فيصل,"(24.8155263, 46.660878)","(24.773476, 46.5716484)",1.348148148148148,52.4627445137871,21.218518518518515,18.308555555555557,Blue
King Saud,"(24.6933354, 46.7188421)","(24.638759, 46.6457942)",3.140740740740741,40.429872750545414,21.225925925925925,13.379333333333332,Blue
الملك عبدالله,"(24.7598942, 46.7618374)","(24.7040611, 46.7211557)",0.8037037037037037,44.111414505573855,17.95740740740741,12.81311111111111,Blue
الجبل الأبيض,"(24.7987395, 46.6509222)","(24.7389743, 46.6023784)",-0.5925925925925926,46.81011455120668,16.266666666666666,12.612666666666666,Blue
AL Hadad,"(24.6927368, 46.7944167)","(24.6437154, 46.7883665)",-0.8870370370370371,43.45208294245444,15.81851851851852,11.437333333333337,Blue
الحنكة,"(24.7861326, 46.7233733)","(24.7270423, 46.6850215)",1.175925925925926,46.319625005573464,15.083333333333334,11.40577777777778,Blue
القادسية,"(24.8395969, 46.8501623)","(24.8001838, 46.7978952)",1.6685185185185183,39.230549309205614,17.581481481481482,11.386333333333331,Yellow
شارع الوقار,"(24.7854313, 46.7620568)","(24.7611366, 46.70917670000001)",-0.5222222222222223,38.75047562125181,17.437037037037037,11.2,Blue
Al Ghareeb,"(24.7235842, 46.7901815)","(24.6767355, 46.7497383)",0.2425925925925925,37.551905155370505,17.187037037037037,10.70711111111111,Blue
Tariq Bin Shabab,"(24.6226251, 46.7671967)","(24.5785679, 46.7430136)",1.3129629629629629,39.13742119240823,16.012962962962963,10.274,Blue
الياسمين,"(24.8430476, 46.6698339)","(24.8006436, 46.6142181)",1.225925925925926,36.359107599931754,16.737037037037037,9.944111111111113,Blue
Al Falah,"(24.8091397, 46.7223406)","(24.785114, 46.6960814)",0.3777777777777777,39.932281599552816,14.074074074074073,9.19988888888889,Blue
وادي درعة,"(24.6628532, 46.8264947)","(24.6359111, 46.7684062)",-0.8611111111111112,34.90295859355121,14.705555555555556,8.52,Blue
حلبان,"(24.8037367, 46.782922)","(24.7736595, 46.73727179999999)",0.8537037037037037,32.032471946577814,15.433333333333334,8.174,Yellow
Sabta,"(24.76491, 46.6699305)","(24.7191642, 46.6578609)",1.803703703703704,41.479845116405,11.653703703703703,7.751777777777777,Blue
Al Rafaih,"(24.6504946, 46.6769391)","(24.6252127, 46.6438333)",-0.1777777777777778,31.747570596421227,13.983333333333334,7.374555555555555,Blue
ممر الجوابرة,"(24.7358359, 46.6682707)","(24.7026367, 46.632072)",-0.4722222222222222,33.139297898297635,12.927777777777775,7.05,Blue
الباطن,"(24.7631338, 46.8028881)","(24.642655, 46.7315306)",3.7648148148148146,45.77430421502674,30.759259259259256,22.581222222222223,Blue
