Road Name,Distance (km),Time (mins),Ratio (km/min),Start_point,End_point
طريق الامام  سعود بن فيصل,19.288,24.266666666666666,0.7948351648351649,"(24.8155263, 46.660878)","(24.773476, 46.5716484)"
عفيف - الحوميات,7.356,9.55,0.770261780104712,"(23.0844693, 42.9125976)","(23.0471961, 42.8549193)"
شارع حفصة بنت عمر,10.043,15.633333333333333,0.642409381663113,"(24.7546817, 46.8071244)","(24.721463, 46.7575221)"
نجم الدين أبي حامد,30.867,39.35,0.7844218551461245,"(24.5902846, 46.670534)","(24.5367663, 46.4970116)"
الملك عبدالعزيز,56.714,60.95,0.9305004101722724,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)"
Al-Haer,43.271,44.28333333333333,0.9771396311629658,"(24.4942256, 46.8847528)","(24.3836285, 46.798284)"
يزيد بن مالك,6.242,9.183333333333334,0.6797096188747731,"(24.5897615, 46.8567756)","(24.5714292, 46.8252838)"
أبي المنصور البغدادي,77.679,102.75,0.756,"(33.525989, 44.59157)","(33.1945229, 44.238519)"
Al Thoumamah Rd,34.069,37.03333333333333,0.91995499549955,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
Olaya Road,38.886,42.1,0.9236579572446556,"(24.8302126, 46.6995133)","(24.6639052, 46.612626)"
روض الجواء,8.221,12.183333333333334,0.6747742818057455,"(24.5584172, 46.7774781)","(24.5511378, 46.7647779)"
شارع الملك فهد,80.736,86.75,0.9306743515850144,"(25.0547936, 46.70917670000001)","(24.5781126, 46.4970116)"
الباجي,6.752,7.45,0.9063087248322148,"(24.5646125, 46.6341828)","(24.5622561, 46.6325054)"
Farsan,6.772,7.766666666666667,0.871931330472103,"(24.8359023, 46.6910592)","(24.8311855, 46.6812483)"
ظلم,10.78,13.216666666666669,0.8156368221941992,"(24.8320047, 46.6934745)","(24.8206771, 46.66932689999999)"
بكار بن رباح,15.226,17.966666666666665,0.8474582560296847,"(24.5916869, 46.6078033)","(24.5713992, 46.5210757)"
Al-Hamrah,9.527,13.566666666666666,0.7022358722358721,"(24.7913163, 46.77653309999999)","(24.7598942, 46.730632)"
طريق العروبة,18.726,23.916666666666668,0.7829686411149825,"(24.7435802, 46.7526854)","(24.6890813, 46.6270967)"
الوليد بن مسلم,8.439,11.2,0.7534821428571429,"(24.76329790000003, 46.61907649999999)","(24.74361729999997, 46.5815554)"
طريق عثمان بن عفان,19.208,25.366666666666667,0.7572141918528251,"(24.8540833, 46.7285093)","(24.7410088, 46.670534)"
شارع سومطرة,7.131,8.366666666666667,0.8523107569721116,"(24.7753276, 46.6602746)","(24.75078, 46.6165447)"
طريق مكة الفرعي,16.438,21.283333333333335,0.7723414252153483,"(24.7201491, 46.7671967)","(24.6656897, 46.6367462)"
عبدالملك الفتني,8.945,12.316666666666666,0.7262516914749662,"(24.7357296, 46.64157160000001)","(24.6960973, 46.6081801)"
Al Shaba'Niah,18.256,21.483333333333334,0.8497750193948798,"(24.8519613, 46.805914)","(24.7657102, 46.7212587)"
Shaheed Al Din Thum Al Watan Talal Abdulrahman Mohammed Al Maneh,8.069,8.683333333333334,0.9292514395393476,"(24.7338302, 46.5931876)","(24.730017, 46.5900239)"
Al Zahabi,9.339,11.616666666666667,0.8039311334289814,"(24.5867759, 46.5475598)","(24.5545491, 46.5427434)"
Al Tawhed,6.077,7.433333333333334,0.8175336322869955,"(24.5602792, 46.6204638)","(24.5516396, 46.609009)"
Umm Al Hair Path,43.271,44.61666666666667,0.9698393724318268,"(24.4942256, 46.8847528)","(24.3836285, 46.798284)"
الزلفي,28.431,29.95,0.9492821368948248,"(26.3641879, 44.9210358)","(26.213051, 44.75521089999999)"
الرمال,23.556,27.666666666666668,0.8514216867469879,"(24.9623711, 46.8511917)","(24.8228584, 46.75764179999999)"
Makkah al-Mukarramah Road,16.438,22.35,0.7354809843400446,"(24.7201491, 46.7671967)","(24.6656897, 46.6367462)"
أبي علي بن الشريف,9.734,12.1,0.8044628099173554,"(24.5650077, 46.7585045)","(24.5640378, 46.7566151)"
شارع التاج,12.486,14.516666666666667,0.8601148105625718,"(24.78133100000002, 46.6595165)","(24.73717459999997, 46.5755256)"
الفضل اليزيدي,9.057,17.516666666666666,0.5170504281636538,"(24.7509366, 46.8228622)","(24.744356, 46.7662896)"
عفيف,17.017,20.85,0.8161630695443645,"(23.9556658, 42.9571364)","(23.8511982, 42.8685665)"
وادي أم أثله,13.35,15.383333333333333,0.8678223185265439,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
ارطاوي الرقاص,8.571,10.35,0.8281159420289855,"(24.5914296, 46.7814854)","(24.5904458, 46.7809561)"
عمير بن سنان بن عرفطة,7.606,10.166666666666666,0.7481311475409836,"(24.6691819, 46.5186688)","(24.6289579, 46.4705546)"
حرثان بن عامر,9.309,15.183333333333334,0.6131064763995608,"(24.7272521, 46.7727151)","(24.6793498, 46.7581267)"
الفضول,10.925,13.0,0.8403846153846154,"(24.7876258, 46.6967957)","(24.7288274, 46.658766)"
Prince Sultan Bin Abdul Aziz,8.204,12.183333333333334,0.6733789329685362,"(24.78070620000002, 46.5690375)","(24.74708999999998, 46.528985)"
الصفاة,25.779,25.7,1.0030739299610896,"(24.5489714, 46.8979572)","(24.4841557, 46.8338156)"
Al Ataya,7.143,10.6,0.6738679245283019,"(24.7536362, 46.7623591)","(24.7333674, 46.7088747)"
الشيخ حسن بن حسين بن علي,16.49,24.866666666666667,0.66313672922252,"(24.8467573, 46.7865516)","(24.7617666, 46.7381783)"
الشيخ محمد بن عبدالوهاب,8.452,11.433333333333334,0.7392419825072886,"(24.78522760000002, 46.5545655)","(24.75757079999997, 46.5283655)"
الفارابي,23.625,28.4,0.8318661971830986,"(24.6557667, 46.8913181)","(24.6429911, 46.8834379)"
أبو عبيدة عامر بن الجراح,12.532,19.45,0.644318766066838,"(24.6956725, 46.8591989)","(24.6619895, 46.7841318)"
Al Sahel Valley,8.035,11.466666666666669,0.7007267441860465,"(24.866488, 46.815598)","(24.8287479, 46.7938116)"
الروضة,9.646,16.35,0.5899694189602447,"(24.7532343, 46.7870871)","(24.7145113, 46.7488715)"
رياض الروضة,9.646,14.9,0.6473825503355705,"(24.7532343, 46.7870871)","(24.7145113, 46.7488715)"
خيران,7.101,15.033333333333331,0.472350332594235,"(24.7055697, 46.8065192)","(24.6888833, 46.76024289999999)"
عبدالقادر صابر,7.552,11.05,0.6834389140271493,"(24.576561, 46.8059896)","(24.5605395, 46.7744539)"
سامطة,9.804,11.4,0.86,"(24.7545783, 46.83622039999999)","(24.7340721, 46.802283)"
مدخل طريق الملك عبدالله,25.369,29.45,0.8614261460101867,"(24.801193, 46.8204406)","(24.6968763, 46.6222727)"
العباس بن عبدالمطلب,7.814,12.383333333333333,0.6310094212651414,"(24.7841274, 46.7266965)","(24.7663703, 46.6898516)"
شارع الأمير تركي بن عبدالعزيز الثاني,6.77,8.333333333333334,0.8123999999999999,"(24.7596584, 46.6644988)","(24.748831, 46.6409684)"
Al Naqeel,15.044,21.083333333333332,0.7135494071146246,"(24.7610666, 46.65562389999999)","(24.7238296, 46.5904416)"
Al-Yaqout,14.961,21.066666666666663,0.7101740506329114,"(24.5746754, 46.8277055)","(24.538878, 46.7671967)"
أوثيلان,6.402,11.583333333333334,0.5526906474820144,"(24.5795234, 46.6952861)","(24.5387215, 46.6758154)"
شارع أبو ذر الغفاري,7.392,12.85,0.5752529182879378,"(24.6876224, 46.7762684)","(24.6809226, 46.7572197)"
الإمام أبي حنيفة,12.676,25.55,0.4961252446183953,"(24.6353085, 46.6946822)","(24.5899618, 46.60298119999999)"
الخضرين,9.178,16.266666666666666,0.5642213114754099,"(24.7628082, 46.7662896)","(24.7368424, 46.7121969)"
محايدة,6.162,10.4,0.5925,"(24.6584052, 46.5861072)","(24.6533337, 46.5855047)"
السماحة,10.63,22.133333333333333,0.4802710843373494,"(24.6255002, 46.6893988)","(24.5726548, 46.6453418)"
الوصلة,9.119,16.116666666666667,0.5658117890382627,"(24.8035774, 46.76749909999999)","(24.7855121, 46.71215919999999)"
الأوزاعي,6.922,12.033333333333331,0.5752354570637119,"(24.7533144, 46.80894)","(24.7153136, 46.7716568)"
شارع عبدالملك بن سكينة,8.945,14.216666666666669,0.6291910902696366,"(24.7357296, 46.64157160000001)","(24.6960973, 46.6081801)"
بيروت,9.676,20.616666666666667,0.4693290218270008,"(33.9161091, 35.5416362)","(33.8623275, 35.4669284)"
مرو,6.831,14.4,0.474375,"(24.6484974, 46.7073647)","(24.6325151, 46.6750609)"
محمد أبي حمزة,6.742,10.416666666666666,0.647232,"(24.7599287, 46.6735519)","(24.7577633, 46.669176)"
Al Sanya al Baida,14.229,24.4,0.583155737704918,"(24.7310537, 46.84344979999999)","(24.6808089, 46.7578244)"
شارع الثوابية,7.703,12.816666666666666,0.6010143042912874,"(24.5991424, 46.7285093)","(24.5646728, 46.6801919)"
ابن حجر,7.753,9.95,0.7791959798994975,"(24.5725734, 46.80894)","(24.556628, 46.7768732)"
الدائري الغربي,38.611,52.56666666666667,0.7345149017121115,"(24.7397288, 46.6463975)","(24.5539963, 46.5547852)"
شارع أبي الأسود الدؤلي,13.867,23.183333333333337,0.5981452192667146,"(24.7586531, 46.8591989)","(24.717821, 46.8295219)"
Al Massaif,7.909,12.25,0.6456326530612245,"(24.7775434, 46.6947278)","(24.7535293, 46.6684286)"
عسيلة,8.848,19.666666666666668,0.4498983050847457,"(24.6110297, 46.6349367)","(24.5715898, 46.58490219999999)"
شارع شرورة,7.641,15.283333333333331,0.4999563794983642,"(24.805822, 46.7659873)","(24.7634044, 46.7405959)"
النجيل,14.762,19.45,0.7589717223650386,"(24.7534692, 46.8495065)","(24.7095964, 46.815598)"
Al Farish,11.523,14.416666666666666,0.7992832369942197,"(24.7891692, 46.7170297)","(24.7480719, 46.6687234)"
القاضي بن زياد,7.644,12.933333333333334,0.5910309278350515,"(24.7454537, 46.7146132)","(24.7408013, 46.7047977)"
سليط بن ثابت,14.762,20.066666666666663,0.7356478405315615,"(24.7534692, 46.8495065)","(24.7095964, 46.815598)"
